File;Sample;Sample ID;Parameter, Goal;Value;ESD
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/t50/Qz_t50.lst;Qz_t50;Qz_t50;QQuartz;1;0
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/t50/Qz_t50.lst;Qz_t50;Qz_t50;Rwp;23.7100;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/t50/Qz_t50.lst;Qz_t50;Qz_t50;Rexp;4.3500;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/t50/Qz_t50.lst;Qz_t50;Qz_t50;Chi2;29.7088;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Qz/t50/Qz_t50.lst;Qz_t50;Qz_t50;GOF;5.4506;
