File;Sample;Sample ID;Parameter, Goal;Value;ESD
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t10.lst;Mgt_t10;Mgt_t10;Chi2;1.2311;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t10.lst;Mgt_t10;Mgt_t10;GOF;1.1096;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t15.lst;Mgt_t15;Mgt_t15;Qsmectitedi2wfix;0,125;0,024
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t15.lst;Mgt_t15;Mgt_t15;QAndradite;0,0529;0,0059
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t15.lst;Mgt_t15;Mgt_t15;QCalcite;0,183;0,014
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t15.lst;Mgt_t15;Mgt_t15;QChlorite;0,154;0,014
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t15.lst;Mgt_t15;Mgt_t15;QMagnetite;0,304;0,013
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t15.lst;Mgt_t15;Mgt_t15;QTalc;0,181;0,012
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t15.lst;Mgt_t15;Mgt_t15;Rwp;4.8000;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t15.lst;Mgt_t15;Mgt_t15;Rexp;4.2800;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t15.lst;Mgt_t15;Mgt_t15;Chi2;1.2578;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t15.lst;Mgt_t15;Mgt_t15;GOF;1.1215;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t20.lst;Mgt_t20;Mgt_t20;Qsmectitedi2wfix;0,07;0,028
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t20.lst;Mgt_t20;Mgt_t20;QAndradite;0,0516;0,0047
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t20.lst;Mgt_t20;Mgt_t20;QCalcite;0,232;0,012
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t20.lst;Mgt_t20;Mgt_t20;QChlorite;0,156;0,011
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t20.lst;Mgt_t20;Mgt_t20;QMagnetite;0,328;0,013
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t20.lst;Mgt_t20;Mgt_t20;QTalc;0,163;0,0092
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t20.lst;Mgt_t20;Mgt_t20;Rwp;3.6300;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t20.lst;Mgt_t20;Mgt_t20;Rexp;3.0300;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t20.lst;Mgt_t20;Mgt_t20;Chi2;1.4353;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t20.lst;Mgt_t20;Mgt_t20;GOF;1.1980;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t25.lst;Mgt_t25;Mgt_t25;Qsmectitedi2wfix;0,065;0,027
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t25.lst;Mgt_t25;Mgt_t25;QCalcite;0,206;0,013
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/Mgt_t25.lst;Mgt_t25;Mgt_t25;QMagnetite;0,343;0,013
