File;Sample;Sample ID;Parameter, Goal;Value;ESD
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/t50/Mgt_t50.lst;Mgt_t50;Mgt_t50;Qsmectitedi2wfix;0,055;0,013
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/t50/Mgt_t50.lst;Mgt_t50;Mgt_t50;QCalcite;0,203;0,0092
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/t50/Mgt_t50.lst;Mgt_t50;Mgt_t50;QChlorite;0,1672;0,0072
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/t50/Mgt_t50.lst;Mgt_t50;Mgt_t50;QMagnetite;0,3088;0,0085
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/t50/Mgt_t50.lst;Mgt_t50;Mgt_t50;QAndradite;0,0532;0,0028
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/t50/Mgt_t50.lst;Mgt_t50;Mgt_t50;QTalc;0,1643;0,0066
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/t50/Mgt_t50.lst;Mgt_t50;Mgt_t50;QQuartz;0,049;0,011
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/t50/Mgt_t50.lst;Mgt_t50;Mgt_t50;Rwp;2.4200;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/t50/Mgt_t50.lst;Mgt_t50;Mgt_t50;Rexp;1.9200;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/t50/Mgt_t50.lst;Mgt_t50;Mgt_t50;Chi2;1.5887;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/t50/Mgt_t50.lst;Mgt_t50;Mgt_t50;GOF;1.2604;
