File;Sample;Sample ID;Parameter, Goal;Value;ESD
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/t50/Mgt_t50.lst;Mgt_t50;Mgt_t50;Qsmectitedi2wfix;0,146;0,025
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/t50/Mgt_t50.lst;Mgt_t50;Mgt_t50;QCalcite;0,295;0,011
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/t50/Mgt_t50.lst;Mgt_t50;Mgt_t50;QChlorite;0,234;0,013
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/t50/Mgt_t50.lst;Mgt_t50;Mgt_t50;QMagnetite;0,325;0,012
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/t50/Mgt_t50.lst;Mgt_t50;Mgt_t50;Rwp;3.0900;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/t50/Mgt_t50.lst;Mgt_t50;Mgt_t50;Rexp;1.9300;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/t50/Mgt_t50.lst;Mgt_t50;Mgt_t50;Chi2;2.5633;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/t50/Mgt_t50.lst;Mgt_t50;Mgt_t50;GOF;1.6010;
