File;Sample;Sample ID;Parameter, Goal;Value;ESD
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/t50/Mgt_t50.lst;Mgt_t50;Mgt_t50;Qsmectitedi2wfix;0,033;0,016
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/t50/Mgt_t50.lst;Mgt_t50;Mgt_t50;QCalcite;0,2048;0,0078
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/t50/Mgt_t50.lst;Mgt_t50;Mgt_t50;QChlorite;0,1739;0,0077
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/t50/Mgt_t50.lst;Mgt_t50;Mgt_t50;QMagnetite;0,3418;0,0086
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/t50/Mgt_t50.lst;Mgt_t50;Mgt_t50;QAndradite;0,0672;0,0036
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/t50/Mgt_t50.lst;Mgt_t50;Mgt_t50;QTalc;0,1789;0,0071
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/t50/Mgt_t50.lst;Mgt_t50;Mgt_t50;Rwp;2.5000;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/t50/Mgt_t50.lst;Mgt_t50;Mgt_t50;Rexp;1.9100;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/t50/Mgt_t50.lst;Mgt_t50;Mgt_t50;Chi2;1.7132;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/t50/Mgt_t50.lst;Mgt_t50;Mgt_t50;GOF;1.3089;
